"filename", "language", "PHP", "JSON", "Markdown", "YAML", "comment", "blank", "total"
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Commands\WidenCommand.php", "PHP", -18, 0, 0, 0, -6, -5, -29
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Decoder.php", "PHP", -94, 0, 0, 0, -36, -26, -156
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Driver.php", "PHP", -45, 0, 0, 0, -32, -13, -90
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Encoder.php", "PHP", -74, 0, 0, 0, -35, -16, -125
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Font.php", "PHP", -160, 0, 0, 0, -47, -50, -257
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Shapes\CircleShape.php", "PHP", -17, 0, 0, 0, -18, -6, -41
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Shapes\EllipseShape.php", "PHP", -28, 0, 0, 0, -27, -11, -66
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Shapes\LineShape.php", "PHP", -33, 0, 0, 0, -46, -12, -91
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Shapes\PolygonShape.php", "PHP", -24, 0, 0, 0, -18, -8, -50
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Gd\Shapes\RectangleShape.php", "PHP", -30, 0, 0, 0, -36, -11, -77
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Image.php", "PHP", -135, 0, 0, 0, -193, -43, -371
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\ImageManager.php", "PHP", -69, 0, 0, 0, -55, -19, -143
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\ImageManagerStatic.php", "PHP", -31, 0, 0, 0, -48, -10, -89
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\ImageServiceProvider.php", "PHP", -40, 0, 0, 0, -36, -12, -88
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\ImageServiceProviderLaravel4.php", "PHP", -62, 0, 0, 0, -24, -27, -113
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\ImageServiceProviderLaravel5.php", "PHP", -48, 0, 0, 0, -26, -16, -90
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\ImageServiceProviderLeague.php", "PHP", -20, 0, 0, 0, -16, -7, -43
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\ImageServiceProviderLumen.php", "PHP", -19, 0, 0, 0, -8, -8, -35
